대학,최종,수학,수과,국영수과
F대학,합격,5.00 ,4.17 ,4.11 
F대학,합격,4.60 ,4.33 ,4.15 
F대학,합격,2.60 ,4.07 ,4.17 
F대학,합격,5.80 ,4.42 ,4.39 
F대학,불합격,4.20 ,4.02 ,4.43 
F대학,합격,4.20 ,4.67 ,4.45 
C대학,합격,4.60 ,4.01 ,4.18 
D대학,불합격,4.60 ,4.01 ,4.18 
E대학,불합격,4.60 ,4.01 ,4.18 
A대학,합격,4.60 ,4.01 ,4.18 
F대학,합격,4.60 ,4.01 ,4.18 
C대학,합격,4.40 ,4.61 ,4.55 
A대학,합격,4.40 ,4.61 ,4.55 
F대학,합격,4.40 ,4.61 ,4.55 
B대학,합격,4.80 ,4.55 ,4.56 
E대학,불합격,4.80 ,4.55 ,4.56 
A대학,합격,4.80 ,4.55 ,4.56 
F대학,불합격,4.80 ,4.55 ,4.56 
C대학,합격,4.40 ,3.94 ,3.74 
D대학,예비,4.40 ,3.94 ,3.74 
E대학,불합격,4.40 ,3.94 ,3.74 
A대학,합격,4.40 ,3.94 ,3.74 
F대학,합격,4.40 ,3.94 ,3.74 
D대학,합격,4.60 ,3.76 ,3.34 
D대학,합격,3.80 ,4.11 ,3.68 
D대학,합격,1.80 ,3.44 ,3.74 
D대학,합격,3.80 ,4.10 ,3.83 
D대학,합격,4.20 ,4.41 ,3.95 
D대학,불합격,4.80 ,4.40 ,3.98 
D대학,불합격,5.20 ,4.24 ,4.03 
D대학,불합격,4.20 ,3.95 ,4.19 
D대학,불합격,4.40 ,4.07 ,4.21 
D대학,불합격,3.60 ,4.24 ,4.25 
D대학,불합격,4.00 ,5.02 ,5.32 
D대학,불합격,6.40 ,6.23 ,6.30 
C대학,합격,4.60 ,3.76 ,3.34 
C대학,합격,3.80 ,4.11 ,3.68 
C대학,합격,1.80 ,3.44 ,3.74 
C대학,합격,3.80 ,4.10 ,3.83 
C대학,합격,4.20 ,4.41 ,3.95 
C대학,합격,4.80 ,4.40 ,3.98 
C대학,합격,5.20 ,4.24 ,4.03 
C대학,불합격,4.20 ,3.95 ,4.19 
C대학,합격,4.40 ,4.07 ,4.21 
